PNO113_STO_Intensity,PNO113_STO_2Theta,PNO112_STO_Intensity,PNO112_STO_2Theta,PNO113_LSAT_Intensity,PNO113_LSAT_2Theta,PNO112_LSAT_Intensity,PNO112_LSAT_2Theta
258.333,23.78,3.33333,23.78,150,23.78,6.66667,23.78
229.167,23.8,6.66667,23.8,170.833,23.8,5,23.8
333.333,23.82,3.33333,23.82,137.5,23.82,5.83333,23.82
258.333,23.84,3.33333,23.84,112.5,23.84,5,23.84
295.833,23.86,15,23.86,129.167,23.86,7.5,23.86
283.333,23.88,13.3333,23.88,125,23.88,6.66667,23.88
254.167,23.9,6.66667,23.9,116.667,23.9,5,23.9
237.5,23.92,5,23.92,120.833,23.92,6.66667,23.92
262.5,23.94,11.6667,23.94,150,23.94,10,23.94
295.833,23.96,5,23.96,125,23.96,9.16667,23.96
233.333,23.98,6.66667,23.98,104.167,23.98,7.5,23.98
250,24,8.33333,24,125,24,10.8333,24
279.167,24.02,8.33333,24.02,91.6667,24.02,5,24.02
245.833,24.04,6.66667,24.04,83.3333,24.04,6.66667,24.04
250,24.06,13.3333,24.06,100,24.06,9.16667,24.06
216.667,24.08,20,24.08,95.8333,24.08,10.8333,24.08
204.167,24.1,5,24.1,87.5,24.1,11.6667,24.1
208.333,24.12,13.3333,24.12,70.8333,24.12,10,24.12
212.5,24.14,15,24.14,95.8333,24.14,7.5,24.14
166.667,24.16,16.6667,24.16,87.5,24.16,15,24.16
170.833,24.18,10,24.18,79.1667,24.18,8.33333,24.18
237.5,24.2,15,24.2,112.5,24.2,13.3333,24.2
150,24.22,10,24.22,83.3333,24.22,6.66667,24.22
179.167,24.24,11.6667,24.24,45.8333,24.24,8.33333,24.24
137.5,24.26,16.6667,24.26,20.8333,24.26,7.5,24.26
158.333,24.28,10,24.28,50,24.28,10,24.28
179.167,24.3,10,24.3,45.8333,24.3,10.8333,24.3
162.5,24.32,18.3333,24.32,41.6667,24.32,12.5,24.32
158.333,24.34,10,24.34,45.8333,24.34,10,24.34
158.333,24.36,8.33333,24.36,41.6667,24.36,8.33333,24.36
129.167,24.38,15,24.38,33.3333,24.38,6.66667,24.38
112.5,24.4,5,24.4,37.5,24.4,6.66667,24.4
108.333,24.42,6.66667,24.42,25,24.42,9.16667,24.42
83.3333,24.44,18.3333,24.44,29.1667,24.44,7.5,24.44
87.5,24.46,16.6667,24.46,33.3333,24.46,7.5,24.46
112.5,24.48,15,24.48,16.6667,24.48,4.16667,24.48
66.6667,24.5,15,24.5,4.16667,24.5,12.5,24.5
87.5,24.52,16.6667,24.52,25,24.52,6.66667,24.52
75,24.54,15,24.54,4.16667,24.54,7.5,24.54
83.3333,24.56,11.6667,24.56,8.33333,24.56,6.66667,24.56
75,24.58,11.6667,24.58,12.5,24.58,10.8333,24.58
50,24.6,11.6667,24.6,8.33333,24.6,7.5,24.6
66.6667,24.62,10,24.62,16.6667,24.62,7.5,24.62
66.6667,24.64,15,24.64,8.33333,24.64,10,24.64
58.3333,24.66,8.33333,24.66,16.6667,24.66,3.33333,24.66
50,24.68,13.3333,24.68,12.5,24.68,4.16667,24.68
16.6667,24.7,15,24.7,4.16667,24.7,7.5,24.7
62.5,24.72,13.3333,24.72,8.33333,24.72,3.33333,24.72
37.5,24.74,6.66667,24.74,8.33333,24.74,4.16667,24.74
20.8333,24.76,3.33333,24.76,12.5,24.76,3.33333,24.76
33.3333,24.78,11.6667,24.78,1,24.78,8.33333,24.78
16.6667,24.8,10,24.8,1,24.8,3.33333,24.8
33.3333,24.82,13.3333,24.82,1,24.82,6.66667,24.82
25,24.84,10,24.84,4.16667,24.84,5,24.84
4.16667,24.86,5,24.86,1,24.86,5.83333,24.86
12.5,24.88,10,24.88,4.16667,24.88,3.33333,24.88
8.33333,24.9,10,24.9,12.5,24.9,2.5,24.9
8.33333,24.92,5,24.92,4.16667,24.92,5.83333,24.92
4.16667,24.94,5,24.94,4.16667,24.94,7.5,24.94
4.16667,24.96,6.66667,24.96,1,24.96,5,24.96
4.16667,24.98,3.33333,24.98,1,24.98,1.66667,24.98
1,25,1.66667,25,8.33333,25,5,25
4.16667,25.02,1.66667,25.02,4.16667,25.02,5,25.02
1,25.04,5,25.04,1,25.04,5,25.04
4.16667,25.06,11.6667,25.06,4.16667,25.06,0.833333,25.06
1,25.08,1.66667,25.08,4.16667,25.08,5.83333,25.08
1,25.1,10,25.1,4.16667,25.1,6.66667,25.1
1,25.12,1.66667,25.12,8.33333,25.12,7.5,25.12
1,25.14,1,25.14,4.16667,25.14,7.5,25.14
1,25.16,5,25.16,1,25.16,8.33333,25.16
8.33333,25.18,5,25.18,25,25.18,9.16667,25.18
1,25.2,1.66667,25.2,8.33333,25.2,6.66667,25.2
1,25.22,1,25.22,8.33333,25.22,9.16667,25.22
8.33333,25.24,1.66667,25.24,4.16667,25.24,15,25.24
1,25.26,5,25.26,4.16667,25.26,7.5,25.26
1,25.28,3.33333,25.28,1,25.28,7.5,25.28
4.16667,25.3,1,25.3,12.5,25.3,9.16667,25.3
1,25.32,5,25.32,16.6667,25.32,5,25.32
4.16667,25.34,5,25.34,20.8333,25.34,15.8333,25.34
12.5,25.36,5,25.36,8.33333,25.36,11.6667,25.36
4.16667,25.38,3.33333,25.38,8.33333,25.38,9.16667,25.38
12.5,25.4,10,25.4,16.6667,25.4,8.33333,25.4
12.5,25.42,3.33333,25.42,25,25.42,12.5,25.42
4.16667,25.44,3.33333,25.44,4.16667,25.44,12.5,25.44
4.16667,25.46,6.66667,25.46,12.5,25.46,15,25.46
8.33333,25.48,6.66667,25.48,12.5,25.48,16.6667,25.48
8.33333,25.5,8.33333,25.5,8.33333,25.5,11.6667,25.5
8.33333,25.52,3.33333,25.52,12.5,25.52,10.8333,25.52
12.5,25.54,8.33333,25.54,8.33333,25.54,11.6667,25.54
8.33333,25.56,6.66667,25.56,4.16667,25.56,13.3333,25.56
4.16667,25.58,8.33333,25.58,16.6667,25.58,21.6667,25.58
8.33333,25.6,20,25.6,12.5,25.6,21.6667,25.6
12.5,25.62,10,25.62,8.33333,25.62,17.5,25.62
