hh_13,hh_20,hh_27,hh_34,hh_41,hh_48,hh_55,hh_62,hh_69,h0_Th13,h0_Th20,h0_Th27,h0_Th34,h0_Th41,h0_Th48,h0_Th55,h0_Th62,h0_Th69,Energy_Loss
0.0504031,0.0445495,0.036148,0.036018,0.0315137,0.0268541,0.0342102,0.0338675,0.0380367,0.0476679,0.0417226,0.0414022,0.034579,0.0383103,0.0316214,0.0319019,0.0375234,0.0367266,-247.3
0.0449774,0.0438259,0.0393318,0.0392181,0.0355482,0.0279804,0.0332663,0.0411541,0.0386571,0.0525034,0.0412272,0.04358,0.0381611,0.0388482,0.0341423,0.0319365,0.0391118,0.0396176,-237.65
0.0442334,0.0445237,0.040083,0.0419504,0.0359918,0.0309012,0.0347699,0.0369128,0.0359615,0.0442185,0.0474311,0.0442888,0.038829,0.0387502,0.0369971,0.0334056,0.0379579,0.0383782,-228
0.0447271,0.049673,0.0445676,0.0409655,0.0308876,0.0343758,0.0358664,0.0408928,0.042877,0.0519989,0.049878,0.0446161,0.0422639,0.0385051,0.037407,0.042161,0.0306722,0.032563,-218.35
0.049408,0.0497252,0.0402551,0.0387504,0.0360405,0.0385227,0.0376733,0.0408398,0.0382897,0.0555215,0.0477041,0.0396517,0.0411523,0.0376687,0.0356522,0.0426416,0.0342119,0.0413971,-208.7
0.0558355,0.0479352,0.0450654,0.0356692,0.0366145,0.0401648,0.0381995,0.0392501,0.0435681,0.056953,0.051287,0.0378694,0.0401579,0.037336,0.0322038,0.0364085,0.0376698,0.0368819,-199.05
0.0544372,0.0500595,0.046749,0.038618,0.0400562,0.0400435,0.0373201,0.0362983,0.0500882,0.0585276,0.0545114,0.0395065,0.0432774,0.0422763,0.034041,0.0357072,0.0415953,0.0344057,-189.4
0.0584654,0.051149,0.0470263,0.0435714,0.0390245,0.0387932,0.045114,0.0395062,0.039223,0.0583523,0.054962,0.0448348,0.0463315,0.0401823,0.0411699,0.0380164,0.0380244,0.0485284,-179.75
0.0652525,0.0518704,0.049753,0.044668,0.0370408,0.0465678,0.0448545,0.040228,0.0456652,0.0667393,0.053795,0.0454048,0.0462383,0.0438944,0.0442771,0.0388708,0.0449335,0.0478041,-170.1
0.0692481,0.0559651,0.0473931,0.0462455,0.0394821,0.0450978,0.0487601,0.0397507,0.0550734,0.0653777,0.0558094,0.0446864,0.0466024,0.0523656,0.0459871,0.0370097,0.0442762,0.0483847,-160.45
0.0724877,0.056676,0.0506017,0.047648,0.0487215,0.0436695,0.048488,0.0418586,0.0517844,0.0721849,0.0577868,0.045518,0.0516631,0.0462492,0.0458684,0.0403666,0.0458142,0.0428121,-150.8
0.0676454,0.0575675,0.0547766,0.0476712,0.0481985,0.0485749,0.0532303,0.0488421,0.0503441,0.0640419,0.0576946,0.055567,0.053972,0.0433853,0.0487712,0.0457411,0.0470735,0.0512821,-141.15
0.0712098,0.0591215,0.0602047,0.0500944,0.046818,0.0476182,0.0543918,0.0507739,0.0504527,0.073855,0.059738,0.0567793,0.0569419,0.0507501,0.0510489,0.0471354,0.046601,0.0554151,-131.5
0.0713495,0.0645449,0.0529674,0.0580487,0.0520981,0.0475525,0.048008,0.0456302,0.0565918,0.0764948,0.0658854,0.06124,0.0642666,0.0517877,0.0549789,0.0435786,0.0556544,0.0486962,-121.85
0.0751152,0.0649363,0.054154,0.0599655,0.0467525,0.0532698,0.0513209,0.0510835,0.0582755,0.0825569,0.076914,0.0660566,0.0609177,0.0595903,0.0619803,0.0524275,0.0614397,0.0581402,-112.2
0.0846316,0.0674587,0.0581851,0.0645276,0.0573685,0.058102,0.0569035,0.0539209,0.0605667,0.087192,0.083764,0.0767063,0.0721213,0.0643029,0.0647447,0.0567248,0.0613822,0.0618992,-102.55
0.0997217,0.072329,0.0768184,0.0765679,0.0749302,0.0710413,0.0777595,0.0677795,0.078669,0.0991496,0.0889615,0.0911628,0.0753498,0.0733353,0.0767112,0.0672832,0.0748999,0.0748863,-92.9
0.104057,0.0904713,0.0971028,0.0907898,0.0805383,0.0883972,0.0859992,0.0869,0.0925227,0.117137,0.0993211,0.110774,0.089647,0.0866747,0.0913433,0.0857076,0.088444,0.0938139,-83.25
0.121886,0.113192,0.108311,0.111283,0.0947112,0.10691,0.105085,0.112901,0.112555,0.135021,0.121868,0.134882,0.124973,0.100751,0.1059,0.102841,0.105272,0.112118,-73.6
0.165741,0.153137,0.144242,0.147241,0.13844,0.140386,0.149235,0.141538,0.160449,0.187919,0.16172,0.168434,0.167578,0.141179,0.149224,0.13843,0.144013,0.144254,-63.95
