hh_Theta=13,hh_Theta=20,hh_Theta=27,hh_Theta=34,hh_Theta=41,hh_Theta=48,hh_Theta=55,hh_Theta=61,hh_Theta=70,h0_Theta=13,h0_Theta=20,h0_Theta=27,h0_Theta=34,h0_Theta=41,h0_Theta=48,h0_Theta=55,h0_Theta=62,h0_Theta=69,h0_Theta=76,EnergyLoss (meV),,
0.0301145,0.0213545,0.0137504,0.0131494,0.00957491,0.00831437,0.00932215,0.00724355,0.0106732,0.0239573,0.0193282,0.0115031,0.0115143,0.00968656,0.00616202,0.00939249,0.00638901,0.00950287,0.0262606,-171.9,,
0.02743,0.0213733,0.0160431,0.0128876,0.0143092,0.0093932,0.0115944,0.00836067,0.0114267,0.024807,0.0183046,0.0103371,0.0127068,0.0099478,0.00586447,0.011853,0.0105027,0.0103106,0.0226653,-162.25,,
0.0322414,0.0234195,0.0172031,0.0136072,0.0134006,0.0104823,0.00949232,0.00847311,0.0110434,0.0268579,0.0184288,0.0133185,0.0152846,0.0100001,0.0058544,0.0111356,0.00787723,0.0106221,0.0273792,-152.6,,
0.0358994,0.023966,0.0173833,0.0129653,0.0129428,0.0113921,0.00891957,0.0103752,0.00841607,0.0296253,0.0200915,0.0167922,0.0131255,0.0121506,0.00769555,0.00925695,0.00847576,0.010991,0.0280099,-142.95,,
0.0319707,0.0245809,0.0185718,0.0114915,0.0133701,0.0126652,0.00812363,0.0109959,0.0090933,0.0310062,0.0199317,0.0158924,0.0154183,0.00940211,0.00895788,0.0142887,0.00904114,0.0119517,0.0268821,-133.3,,
0.0358286,0.0212636,0.017871,0.0121189,0.014833,0.0108028,0.0106978,0.0114872,0.0108847,0.0302211,0.0191348,0.0145357,0.0157077,0.00955199,0.00943511,0.0131741,0.010652,0.0126935,0.0269378,-123.65,,
0.0305639,0.0209183,0.0173371,0.0114603,0.0113218,0.0117268,0.0136315,0.010671,0.0104256,0.0310987,0.0199248,0.0145922,0.0106681,0.00923926,0.0084621,0.0108759,0.00937286,0.0115062,0.0264417,-114,,
0.0393065,0.0227556,0.0197813,0.0135088,0.0131504,0.0140287,0.0121,0.0125784,0.0106071,0.0315856,0.0185932,0.0153198,0.00993456,0.0156804,0.00891155,0.00935235,0.00844929,0.0110808,0.0299818,-104.35,,
0.0392547,0.0234577,0.0190085,0.013362,0.0124475,0.0119869,0.0116796,0.0132717,0.0123081,0.0329461,0.0214524,0.0175613,0.0124397,0.0181572,0.0113887,0.0141667,0.0114742,0.0145154,0.0385084,-94.7,,
0.0404456,0.027084,0.0197372,0.0114428,0.013352,0.0154927,0.0130833,0.013092,0.0147865,0.0381738,0.0273988,0.0156925,0.0144264,0.0158748,0.0138326,0.00876351,0.00789573,0.0166576,0.0481333,-85.05,,
0.0497501,0.0292914,0.0245505,0.0147139,0.0138966,0.0158152,0.0141311,0.0113521,0.016491,0.0415536,0.0306155,0.021805,0.0167215,0.0184433,0.015314,0.0106905,0.0186162,0.0210132,0.055955,-75.4,,
0.0598051,0.0349463,0.0269333,0.0214928,0.0173961,0.0204312,0.0172309,0.0170428,0.0210136,0.0444625,0.0345213,0.0238458,0.0185651,0.0224417,0.0171484,0.0158019,0.015191,0.028817,0.0716789,-65.75,,
0.0791944,0.0530127,0.0330609,0.030634,0.0231029,0.0244191,0.0268526,0.0203872,0.038375,0.0603017,0.0526496,0.0376131,0.0270691,0.0296655,0.0249607,0.0246753,0.0206801,0.0412518,0.113324,-56.1,,
0.131129,0.0768714,0.058351,0.0518135,0.0473284,0.0448413,0.0481953,0.0430168,0.0753386,0.123438,0.0947952,0.0559629,0.0489679,0.0484705,0.0447878,0.0463414,0.0428847,0.0791926,0.243184,-46.45,,
0.298517,0.185019,0.1291,0.110264,0.102636,0.10517,0.0986897,0.0832156,0.158002,0.284458,0.210072,0.125139,0.124285,0.104569,0.103732,0.0919879,0.0886099,0.185213,0.565679,-36.8,,
0.627314,0.420995,0.299634,0.219904,0.205215,0.216952,0.209837,0.178037,0.321131,0.580748,0.420428,0.265596,0.274291,0.225598,0.234331,0.202328,0.211891,0.405499,1.20694,-27.15,,
1.16047,0.743367,0.509477,0.408704,0.365946,0.388513,0.374387,0.334057,0.533432,0.977315,0.693921,0.499191,0.452771,0.414122,0.388963,0.375666,0.377587,0.702156,2.20735,-17.5,,
1.57718,0.994033,0.695537,0.539041,0.504325,0.534308,0.505116,0.470246,0.696643,1.3215,0.904174,0.679266,0.58797,0.546884,0.52612,0.526329,0.495212,0.950485,3.12493,-7.85,,
1.65009,1.04929,0.684474,0.593124,0.511688,0.543433,0.548617,0.474357,0.748262,1.37296,0.95492,0.704439,0.626277,0.560003,0.547732,0.535535,0.527637,1.00323,3.37401,1.8,,
1.38223,0.890021,0.599152,0.484876,0.432273,0.448417,0.449394,0.402613,0.643155,1.16256,0.800943,0.616786,0.53447,0.484209,0.479119,0.445796,0.456967,0.85714,2.84941,11.45,,
0.978949,0.632389,0.450122,0.347412,0.317457,0.333109,0.309963,0.282846,0.45375,0.845044,0.598222,0.450605,0.387252,0.352331,0.332475,0.30802,0.306572,0.595631,1.80406,21.1,,
0.665422,0.433303,0.311621,0.253601,0.214535,0.211143,0.20432,0.16732,0.281834,0.622635,0.448702,0.342995,0.289491,0.246121,0.213754,0.195681,0.172574,0.3443,0.887731,30.75,,
0.549463,0.393958,0.274987,0.221504,0.176672,0.162363,0.161023,0.14294,0.20088,0.577272,0.42181,0.332865,0.281216,0.217202,0.170103,0.169393,0.138304,0.210131,0.413966,40.4,,
0.582219,0.431265,0.307762,0.250532,0.197888,0.165391,0.158926,0.142231,0.178795,0.610699,0.460385,0.361053,0.295317,0.234008,0.178836,0.151004,0.150253,0.161032,0.24712,50.05,,
0.652201,0.51187,0.376791,0.284129,0.218324,0.18475,0.156526,0.153349,0.174948,0.640302,0.485603,0.38676,0.302915,0.248302,0.180147,0.165152,0.136096,0.145142,0.191997,59.7,,
0.674106,0.531769,0.399433,0.30047,0.236433,0.203892,0.160332,0.182173,0.1743,0.621001,0.451812,0.367116,0.306319,0.234713,0.18927,0.156708,0.151192,0.135495,0.160333,69.35,,
